"Lines","Path"
"3840",".\src-tauri\src\lib.rs"
"1069",".\sensor-bridge\Program.cs"
"901",".\src\views\Details.vue"
"125",".\src\main.ts"
"101",".\src\views\Settings.vue"
"29",".\vite.config.ts"
"21",".\src\views\About.vue"
"18",".\sensor-bridge\obj\Release\net8.0\win-x64\sensor-bridge.AssemblyInfo.cs"
"18",".\sensor-bridge\obj\Debug\net8.0\sensor-bridge.AssemblyInfo.cs"
"18",".\sensor-bridge\obj\Release\net8.0\sensor-bridge.AssemblyInfo.cs"
"12",".\src\App.vue"
"11",".\src\router\index.ts"
"8",".\sensor-bridge\obj\Debug\net8.0\sensor-bridge.GlobalUsings.g.cs"
"8",".\sensor-bridge\obj\Release\net8.0\sensor-bridge.GlobalUsings.g.cs"
"8",".\sensor-bridge\obj\Release\net8.0\win-x64\sensor-bridge.GlobalUsings.g.cs"
"6",".\src\vite-env.d.ts"
"5",".\src-tauri\src\main.rs"
"4",".\sensor-bridge\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs"
"4",".\sensor-bridge\obj\Release\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs"
"4",".\sensor-bridge\obj\Release\net8.0\win-x64\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs"
"3",".\src-tauri\build.rs"
